missing_value,normalization,model,dissimilarities
1,1,1,5.3315425174838005e-05
1,2,1,0.0005619569813494207
1,3,1,0.004204588310414703
1,4,1,0.0008602323747389784
1,5,1,0.0009254172175512387
2,1,1,8.121939045702131e-05
2,2,1,0.0003412720385506107
2,3,1,0.0005245293521308758
2,4,1,0.0006527611498632346
2,5,1,0.0007053590588799175
3,1,1,8.121939045702131e-05
3,2,1,0.0003412720385506107
3,3,1,0.0005245293521308758
3,4,1,0.0006527611498632346
3,5,1,0.0007053590588799175
4,1,1,8.122745374572471e-05
4,2,1,0.00044904210832463765
4,3,1,0.000642345644405129
4,4,1,0.0006586093991783892
4,5,1,0.000716974832133288
5,1,1,8.121939045702131e-05
5,2,1,0.0003412720385506107
5,3,1,0.0005245293521308758
5,4,1,0.0006527611498632346
5,5,1,0.0007053590588799175
6,1,1,8.121939045702131e-05
6,2,1,0.0003412720385506107
6,3,1,0.0005245293521308758
6,4,1,0.0006527611498632346
6,5,1,0.0007053590588799175
7,1,1,8.121939045702131e-05
7,2,1,0.0003412720385506107
7,3,1,0.0005245293521308758
7,4,1,0.0006527611498632346
7,5,1,0.0007053590588799175
8,1,1,8.121939045702131e-05
8,2,1,0.0003412720385506107
8,3,1,0.0005245293521308758
8,4,1,0.0006527611498632346
8,5,1,0.0007053590588799175
9,1,1,8.121939045702131e-05
9,2,1,0.0003412720385506107
9,3,1,0.0005245293521308758
9,4,1,0.0006527611498632346
9,5,1,0.0007053590588799175
