 failed 0,passed307,Grid search fall back 0
0.94,ranking,iterations q1,3.0
0.94,ranking,iterations q2,7.0
0.94,ranking,iterations q3,8.0
0.94,ranking,iterations q4,13.0
0.94,ranking,Fairness q1,0.05616
0.94,ranking,Fairness q2,0.05616
0.94,ranking,Fairness q3,0.05616
0.94,ranking,Fairness q4,0.05616

0.94,grid search,iterations q1,11.0
0.94,grid search,iterations q2,27.0
0.94,grid search,iterations q3,54.0
0.94,grid search,iterations q4,191.0
0.94,grid search,Fairness q1,0.05616
0.94,grid search,Fairness q2,0.05616
0.94,grid search,Fairness q3,0.05616
0.94,grid search,Fairness q4,0.05616

 failed 0,passed224,Grid search fall back 0
0.93,ranking,iterations q1,1.0
0.93,ranking,iterations q2,3.0
0.93,ranking,iterations q3,4.0
0.93,ranking,iterations q4,8.0
0.93,ranking,Fairness q1,0.05616
0.93,ranking,Fairness q2,0.06615
0.93,ranking,Fairness q3,0.06897
0.93,ranking,Fairness q4,0.06911

0.93,grid search,iterations q1,1.0
0.93,grid search,iterations q2,2.0
0.93,grid search,iterations q3,5.0
0.93,grid search,iterations q4,17.0
0.93,grid search,Fairness q1,0.06031
0.93,grid search,Fairness q2,0.06031
0.93,grid search,Fairness q3,0.06615
0.93,grid search,Fairness q4,0.06911

 failed 0,passed160,Grid search fall back 0
0.92,ranking,iterations q1,1.0
0.92,ranking,iterations q2,1.0
0.92,ranking,iterations q3,1.0
0.92,ranking,iterations q4,2.0
0.92,ranking,Fairness q1,0.06615
0.92,ranking,Fairness q2,0.07343
0.92,ranking,Fairness q3,0.07782
0.92,ranking,Fairness q4,0.07991

0.92,grid search,iterations q1,1.0
0.92,grid search,iterations q2,2.0
0.92,grid search,iterations q3,2.0
0.92,grid search,iterations q4,11.0
0.92,grid search,Fairness q1,0.06031
0.92,grid search,Fairness q2,0.06809
0.92,grid search,Fairness q3,0.07588
0.92,grid search,Fairness q4,0.07991

 failed 0,passed64,Grid search fall back 0
0.91,ranking,iterations q1,1.0
0.91,ranking,iterations q2,1.0
0.91,ranking,iterations q3,1.0
0.91,ranking,iterations q4,1.0
0.91,ranking,Fairness q1,0.06615
0.91,ranking,Fairness q2,0.07782
0.91,ranking,Fairness q3,0.08171
0.91,ranking,Fairness q4,0.08755

0.91,grid search,iterations q1,1.0
0.91,grid search,iterations q2,1.0
0.91,grid search,iterations q3,1.0
0.91,grid search,iterations q4,5.0
0.91,grid search,Fairness q1,0.06615
0.91,grid search,Fairness q2,0.07977
0.91,grid search,Fairness q3,0.08366
0.91,grid search,Fairness q4,0.08755

